phylum	species	D.mode	temp	pld
Annelida	Circeus.spirillum	L	5	16
Annelida	Circeus.spirillum	L	10	16
Annelida	Circeus.spirillum	L	15	4
Annelida	Hydroides.elegans	P	15	8
Annelida	Hydroides.elegans	P	20	6.5
Annelida	Hydroides.elegans	P	25	5
Annelida	Hydroides.elegans	P	30	3.2
Annelida	Nereis.virens	L	5	15
Annelida	Nereis.virens	L	10	9.5
Annelida	Nereis.virens	L	17	4.5
Annelida	Scolecolepides.viridis	P	10	42
Annelida	Scolecolepides.viridis	P	20	26
Annelida	Spirorbis.spirorbis	L	5	16
Annelida	Spirorbis.spirorbis	L	10	7
Annelida	Spirorbis.spirorbis	L	15	7
Arthropoda	Armases.miersii	L	23.9	19.3
Arthropoda	Armases.miersii	L	29.3	11
Arthropoda	Balanus.amphitrite.	P	15	16
Arthropoda	Balanus.amphitrite.	P	20	13
Arthropoda	Balanus.amphitrite.	P	23	9
Arthropoda	Balanus.amphitrite.	P	25	8
Arthropoda	Balanus.amphitrite.	P	27	9
Arthropoda	Balanus.eburneus	P	20	10.8
Arthropoda	Balanus.eburneus	P	25	8.4
Arthropoda	Balanus.eburneus	P	30	3.9
Arthropoda	Balanus.trigonus	P	18	10
Arthropoda	Balanus.trigonus	P	21	7
Arthropoda	Balanus.trigonus	P	24	5
Arthropoda	Balanus.trigonus	P	28	4
Arthropoda	Callianassa.tyrrhena	P	14	16.6
Arthropoda	Callianassa.tyrrhena	P	18	7.6
Arthropoda	Callianassa.tyrrhena	P	22	5.1
Arthropoda	Callianassa.tyrrhena	P	25	3.2
Arthropoda	Cancer.gracilis	P	10	67
Arthropoda	Cancer.gracilis	P	15	34.2
Arthropoda	Cancer.gracilis	P	20	23.4
Arthropoda	Cancer.irroratus	P	10	50
Arthropoda	Cancer.irroratus	P	15	26
Arthropoda	Cancer.irroratus	P	18	19
Arthropoda	Cancer.irroratus	P	21	17
Arthropoda	Cancer.irroratus	P	24	17
Arthropoda	Cancer.oregonensis	P	10	71.7
Arthropoda	Cancer.oregonensis	P	15	34.8
Arthropoda	Cancer.magister.	P	10	68.9
Arthropoda	Cancer.magister.	P	15	38.5
Arthropoda	Cancer.productus	P	10	59.2
Arthropoda	Cancer.productus	P	15	33.6
Arthropoda	Cancer.productus	P	20	28.2
Arthropoda	Carcinus.maenas.	P	12	63.1
Arthropoda	Carcinus.maenas.	P	15	42.2
Arthropoda	Carcinus.maenas.	P	18	30.5
Arthropoda	Carcinus.maenas.	P	25	23.5
Arthropoda	Chthamalus.stellatus	P	18.9	16
Arthropoda	Chthamalus.stellatus	P	22.6	15
Arthropoda	Chthamalus.montagui	P	17.6	13
Arthropoda	Chthamalus.montagui	P	18.9	11
Arthropoda	Chthamalus.montagui	P	22.6	11
Arthropoda	Elminius.modestus	P	6	42
Arthropoda	Elminius.modestus	P	12	16
Arthropoda	Elminius.modestus	P	18	10
Arthropoda	Elminius.modestus	P	24	7
Arthropoda	Eriocheir.sinensis.	P	12	94
Arthropoda	Eriocheir.sinensis.	P	15	61
Arthropoda	Eriocheir.sinensis.	P	18	44.5
Arthropoda	Hemigrapsus.sanguineus	P	15	53
Arthropoda	Hemigrapsus.sanguineus	P	20	20.8
Arthropoda	Hemigrapsus.sanguineus	P	25	15.6
Arthropoda	Homarus.americanus	P	10	110
Arthropoda	Homarus.americanus	P	12.2	65
Arthropoda	Homarus.americanus	P	14.8	45
Arthropoda	Homarus.americanus	P	18	34
Arthropoda	Homarus.americanus	P	21.5	24
Arthropoda	Hyas.araneus	P	6	103.6
Arthropoda	Hyas.araneus	P	12	55.4
Arthropoda	Hyas.araneus	P	18	35.5
Arthropoda	Limulus.polyphemus	L	20	118
Arthropoda	Limulus.polyphemus	L	25	52
Arthropoda	Limulus.polyphemus	L	30	23
Arthropoda	Lithodes.santolla	L	3	129
Arthropoda	Lithodes.santolla	L	6	60.1
Arthropoda	Lithodes.santolla	L	9	43.4
Arthropoda	Lithodes.santolla	L	12	32.9
Arthropoda	Lithodes.santolla	L	15	19.3
Arthropoda	Lysmata.seticaudata	P	20	31.8
Arthropoda	Lysmata.seticaudata	P	26	19.5
Arthropoda	Menippe.mercenaria	P	25	41
Arthropoda	Menippe.mercenaria	P	30	28
Arthropoda	Mithrax.caribbaeus	P	22	14
Arthropoda	Mithrax.caribbaeus	P	25	12
Arthropoda	Mithrax.caribbaeus	P	28	9
Arthropoda	Necora.puber.	P	15	48.5
Arthropoda	Necora.puber.	P	20	31.6
Arthropoda	Necora.puber.	P	25	28
Arthropoda	Pagurus.bernhardus.	P	6	109
Arthropoda	Pagurus.bernhardus.	P	12	51
Arthropoda	Pagurus.bernhardus.	P	18	33
Arthropoda	Pagurus.criniticornis	P	30	13.3
Arthropoda	Pagurus.criniticornis	P	25	20.5
Arthropoda	Pagurus.criniticornis	P	20	27
Arthropoda	Palaemonetes.longirostris	P	20	23
Arthropoda	Palaemonetes.longirostris	P	25	16.5
Arthropoda	Palaemonetes.pugio	P	20	31.8
Arthropoda	Palaemonetes.pugio	P	25	17.5
Arthropoda	Palaemonetes.pugio	P	30	14.5
Arthropoda	Palaemonetes.varians	P	15	22.5
Arthropoda	Palaemonetes.varians	P	20	15
Arthropoda	Palaemonetes.varians	P	25	11
Arthropoda	Palaemonetes.vulgaris	P	20.3	30.2
Arthropoda	Palaemonetes.vulgaris	P	25.4	16.6
Arthropoda	Palaemonetes.vulgaris	P	30.6	15.7
Arthropoda	Pandalus.borealis	P	2.5	97
Arthropoda	Pandalus.borealis	P	4.3	70
Arthropoda	Panopeus.herbstii	P	20	34
Arthropoda	Panopeus.herbstii	P	25	26
Arthropoda	Paralomis.granulosa	L	3	117.4
Arthropoda	Paralomis.granulosa	L	6	55.2
Arthropoda	Paralomis.granulosa	L	9	41.2
Arthropoda	Paralomis.granulosa	L	12	30.8
Arthropoda	Paralomis.granulosa	L	15	24.3
Arthropoda	Parthenope.serrata.	P	25	30
Arthropoda	Parthenope.serrata.	P	20	45
Arthropoda	Rhithropanopeus.harrisii	P	20	33
Arthropoda	Rhithropanopeus.harrisii	P	25	18
Arthropoda	Rhithropanopeus.harrisii	P	30	13
Arthropoda	Scylla.serrata	P	20	37.7
Arthropoda	Scylla.serrata	P	23	24.6
Arthropoda	Scylla.serrata	P	26	17.7
Arthropoda	Scylla.serrata	P	29	13
