Gender,Ethnicity,ObjectSearch
1,1,1
1,1,-9
1,1,1
1,1,1
1,1,-9
1,1,1
1,2,1
1,1,1
1,1,-9
-9,1,-9
2,1,-9
1,1,1
1,2,1
1,1,2
1,1,1
1,1,1
-9,1,1
1,1,1
1,1,2
1,1,1
1,1,1
1,1,1
-9,1,1
1,2,1
1,2,2
1,2,-9
1,1,2
1,1,2
1,1,2
-9,2,1
1,1,-9
2,2,-9
2,2,-9
2,1,-9
2,1,1
1,1,1
1,1,1
1,2,1
2,1,2
1,1,-9
1,1,-9
1,1,-9
-9,-9,1
1,2,2
-9,-9,1
1,1,-9
1,1,-9
-9,2,2
1,2,1
-9,2,1
1,2,1
1,1,2
1,1,-9
-9,1,-9
1,1,-9
1,1,2
1,1,2
1,1,2
1,1,1
1,1,1
1,1,1
1,2,1
1,1,1
1,1,1
1,2,1
-9,1,1
-9,1,1
-9,-9,1
1,1,2
1,1,-9
1,2,1
1,2,1
1,1,-9
1,1,1
1,2,1
1,1,1
1,2,-9
1,1,-9
1,1,-9
1,1,-9
1,1,-9
-9,1,-9
2,1,-9
1,1,-9
1,1,1
1,1,2
1,1,2
1,1,2
1,2,1
1,2,1
1,1,1
1,1,-9
-9,-9,-9
1,2,1
1,1,1
1,1,1
1,1,1
-9,-9,-9
1,1,-9
1,1,-9
1,2,1
1,1,1
1,2,1
1,2,2
1,1,1
1,1,1
1,2,1
1,1,-9
1,1,-9
1,1,-9
-9,-9,-9
1,2,1
1,1,1
1,2,1
1,2,1
1,1,-9
1,1,2
1,2,2
2,1,2
2,1,2
1,1,-9
1,1,2
1,1,-9
1,2,-9
1,1,-9
1,1,1
-9,1,1
1,1,1
-9,1,1
-9,1,1
1,1,-9
1,2,2
1,1,2
1,2,1
1,2,1
1,2,1
1,2,1
1,1,2
1,2,1
1,2,1
1,1,-9
1,2,2
1,1,1
1,1,1
1,1,2
1,1,1
1,1,-9
1,1,-9
1,2,1
1,2,1
1,1,1
1,1,1
-9,1,2
1,1,-9
-9,-9,1
1,1,1
1,1,-9
1,1,1
1,-9,1
1,1,1
1,1,-9
2,2,2
1,1,1
1,1,2
1,2,1
-9,-9,1
1,1,2
1,1,1
1,2,1
-9,-9,1
2,1,-9
1,1,-9
1,1,1
1,1,1
2,1,1
-9,2,2
1,2,1
1,2,1
1,2,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
-9,-9,2
